time_step,hour,intersection_id,direction,weather,rain_level,weather_demand_multiplier,weather_capacity_multiplier,accident_multiplier,event_multiplier,peak_multiplier,intersection_multiplier,direction_multiplier,vehicle_demand,pedestrian_demand,accident_active
0,7,0,NS,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.0152358539877215,1.25,16,6,0
0,7,0,EW,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.0152358539877215,0.9,11,5,0
0,7,1,NS,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.0994780706209193,1.25,20,6,0
0,7,1,EW,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.0994780706209193,0.9,9,6,0
0,7,2,NS,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.0691032872629846,1.25,14,9,0
0,7,2,EW,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.0691032872629846,0.9,9,7,0
0,7,3,NS,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.1233751108820045,1.25,18,5,0
0,7,3,EW,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.1233751108820045,0.9,13,4,0
0,7,4,NS,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.2293435090257505,1.25,22,5,0
0,7,4,EW,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.2293435090257505,0.9,14,6,0
0,7,5,NS,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.1378555005243207,1.25,12,9,0
0,7,5,EW,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.1378555005243207,0.9,19,7,0
0,7,6,NS,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.1677592739428388,1.25,20,2,0
0,7,6,EW,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.1677592739428388,0.9,14,3,0
0,7,7,NS,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.064782314040835,1.25,19,5,0
0,7,7,EW,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.064782314040835,0.9,12,7,0
0,7,8,NS,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.1088545670949377,1.25,25,7,0
0,7,8,EW,light_rain,1,1.1,0.9,1.3,1.0,2.0,1.1088545670949377,0.9,19,5,0
